url|raw_target|time
https://mail-ince.weeblysite.com/|AT&T|11:20:35
https://helpful-locrian-outrigger.glitch.me/nun.html|Generic/Spear Phishing|11:19:01
https://bt-internet-107336.weeblysite.com/|BT Group plc|11:26:43
https://sign-in-att-1009009.weeblysite.com/|AT&T|11:26:25
http://dronepresavers.com/black.html|Arvest Bank|11:25:42
https://distrosourcess7.sg-host.com/|Telegram|11:24:54
https://d-peat.blog-app.biz/|Generic/Spear Phishing|11:24:31
http://achoura-coder.github.io/netflixproject|Netflix Inc.|11:22:53
https://aolmaiillogin.blogspot.sg/|AOL Inc.|11:22:38
http://themustangcanberra.com.au/bat01.html|DPDgroup|11:31:28
https://allegrolokalnie.pl32184053.shop/|Allegro|11:31:20
http://refilsigbrand.pages.dev/|Crypto/Wallet|11:30:54
https://servemaildomainvalidationihostingservices2fhherhe.pages.dev/|Generic/Spear Phishing|11:30:35
http://att-mail-102779.weeblysite.com/|AT&T Inc.|11:28:49
http://pub-55335c4934c14971bf617e134b2faf64.r2.dev/doc.html|DocuSign|11:27:36
https://fetchaiclaim.pages.dev/|Crypto/Wallet|11:36:40
http://8460b66ebdb9492699cb1149e5769.pages.dev/|Outlook|11:35:32
http://bafkreibw2egralskezuuuflnj6knfc3g3xxiykentioan727gpn2qjvsay.ipfs.dweb.link/|Generic/Spear Phishing|11:35:14
https://abhinand-m-s.github.io/Netflix-landing-page-demo|Netflix Inc.|11:32:53
https://tig.gin.mybluehost.me/marijua/|DHL Airways, Inc.|11:32:48
https://swfitauthprotocol.pages.dev/|Crypto/Wallet|11:41:28
http://www.confeitariadama.com.br/wp-admin/js/widgets/kha/swisssa20244/swisscom/index2.php|Swisscom IT Services AG|11:40:52
http://karensotolaber.pages.dev/|Generic/Spear Phishing|11:40:31
https://http-101511.weeblysite.com/|Shaw Communications|11:39:47
https://getpalzerionify.pages.dev/|Crypto/Wallet|11:46:44
http://zaz5i.slatkakuca.me/|Generic/Spear Phishing|11:46:27
https://djefnejfje.wixsite.com/home1|AT&T Inc.|11:46:19
https://ceioboswpro-log.godaddysites.com/|Coinbase|11:46:17
https://paypay-pay.github.io/0PZa76jd2IwO2KU6|PayPay|11:45:30
https://beritaterbaru-malaysia2024-vcv.my.id/join5/Bantuan.html?fbclid=IwZXh0bgNhZW0BMAABHQPNooPFHAnS1vDAkD4YLN_3-hVgNNm0sBhLpsq-2msIhi0xl8Hwt6OdiA_aem_EkxLRN7NGVVMMjnGoOw1pA|Generic/Spear Phishing|11:51:12
https://bafybeibwlya2bxg5lev53xzwexaf3sckbmbol6yrbxjowez5tf6o5xemd4.ipfs.dweb.link/|Crypto/Wallet|11:50:11
http://ecoijva.com/|Government of Turkey|11:49:23
http://att-106913.weeblysite.com/|AT&T Inc.|11:49:20
https://facebooksecurity.blogspot.sn/|Facebook, Inc.|11:56:57
https://olx-pl.kayforgifts.shop/login/106CI217FQ270U0579880/|PKO Bank Polski|11:56:20
https://loginscreen-att-108245.weeblysite.com/|AT&T Inc.|11:56:19
https://checkin.risk-ident.com/|Generic/Spear Phishing|11:56:11
http://aaliyan-ahmed08.github.io/netflix-clone|Netflix Inc.|11:53:52
https://120365.vip/|Bet365|11:59:53
https://attcom-109881.weeblysite.com/|AT&T|11:59:32
http://innocent321.github.io/Netflix-Hub|Netflix Inc.|11:59:24
http://facebooksecurity.blogspot.pt/|Facebook, Inc.|11:58:23
https://metamasskluginn.blogspot.com.mt/|Crypto/Wallet|11:58:06
http://manage-log.firebaseapp.com/|Generic/Spear Phishing|11:58:02
https://uplohdlogii.github.io/|Uphold|11:58:00
https://retrieve-online-networking.vercel.app/|Facebook, Inc.|12:06:15
